,La Señal,Los Recuerdos del Porvenir,Oficio de Tinieblas,Tipo
habitación,4,19,14,NOUN
manera,20,2,14,NOUN
daban,2,4,14,VERB
mayores,2,3,14,ADJ
viene,3,7,14,VERB
méxico,3,10,13,PROPN
martoma,,,13,PROPN
pecho,3,6,13,NOUN
grande,3,4,13,ADJ
advertir,1,,13,VERB
pudiera,8,7,13,AUX
pareció,27,40,13,VERB
conocía,3,3,13,VERB
altar,,2,13,NOUN
difícil,6,4,13,ADJ
hablaba,17,20,13,VERB
dejaba,10,29,13,VERB
paso,18,2,13,NOUN
objeto,4,1,13,NOUN PROPN
balcázarr,,,13,PROPN
potencias,,,13,NOUN
pueblo,3,49,13,NOUN
detrás,7,44,13,ADV
leve,3,2,13,ADJ
entrar,11,22,13,VERB
abandonó,,5,13,VERB
escuchar,1,6,12,VERB
rango,,,12,NOUN
tomar,5,7,12,VERB
voz,1,46,12,NOUN
debería,,3,12,AUX
apoyo,1,1,12,NOUN
hallar,,2,12,VERB
permanecía,2,7,12,VERB
parajes,,3,12,NOUN
vivir,7,8,12,VERB
sitio,2,,12,NOUN
meses,5,5,12,NOUN
alzó,1,,12,VERB
motivo,3,1,12,NOUN
pensar,19,11,12,VERB
idea,8,8,12,NOUN
convertirse,,3,12,VERB
impaciencia,3,1,12,NOUN
sacerdote,,8,12,NOUN
año,1,5,12,NOUN
funcionarios,,,12,NOUN
hacerse,4,6,12,VERB
vienen,,9,12,VERB
don,1,1,12,PROPN NOUN
permitir,1,1,12,VERB
movimiento,6,6,12,NOUN
decía,14,27,12,VERB
mirar,10,23,12,VERB
oír,3,18,12,VERB
compartir,1,4,12,VERB
cualquier,13,14,12,DET
tarde,2,52,12,ADV
café,2,19,12,NOUN
capaces,1,3,12,ADJ
frase,4,19,12,NOUN
semana,,1,12,NOUN
llama,5,1,12,VERB
contemplaba,,4,12,VERB
empezó,9,22,12,VERB
imagen,1,15,12,VERB NOUN
encontrar,9,16,12,VERB
halló,,1,12,VERB
encontraba,5,15,12,VERB
regresó,3,3,12,VERB
mujeres,5,18,11,NOUN
pequeño,16,7,11,ADJ
sombra,7,11,11,NOUN
posesión,2,,11,NOUN
medios,,,11,NOUN
resultaba,4,1,11,VERB
buscando,4,19,11,VERB
abrió,7,27,11,VERB
cayó,3,19,11,VERB
regreso,,7,11,NOUN
necesidad,2,1,11,NOUN
quedar,2,7,11,VERB
volvía,5,18,11,VERB
mas,1,,11,ADV
guardaba,,8,11,VERB
oídos,,8,11,NOUN
temía,1,5,11,VERB
dejaron,4,9,11,VERB
entró,11,37,11,VERB
condición,1,3,11,NOUN
imágenes,,9,11,NOUN
llegaba,3,28,11,VERB
mano,3,29,11,NOUN
insignificante,,,11,ADJ
lengua,6,8,11,NOUN
fuego,1,2,11,NOUN
pensó,7,17,11,VERB
detuvo,4,17,11,VERB
mala,1,6,11,ADJ
interés,1,3,11,NOUN
espalda,1,1,11,NOUN
hacen,2,5,11,VERB
aspecto,3,,11,NOUN
habla,4,3,11,VERB
faltaba,2,6,11,VERB
alta,3,12,11,ADJ
llevar,2,12,11,VERB
poner,3,4,11,VERB
mañana,10,21,11,ADV
pretexto,,,11,NOUN
sé,1,26,11,VERB
lorenzodíazpuiljár,,,11,PROPN
trataba,4,1,11,VERB
casas,2,24,11,NOUN
dejaban,2,6,11,VERB
encontró,9,31,11,VERB
grito,8,3,11,NOUN
señoras,1,11,11,NOUN
escuchó,2,12,11,VERB
llegaron,3,33,10,VERB
ademanes,,,10,NOUN
mientras,23,63,10,SCONJ
extraño,9,15,10,ADJ
cuyos,,,10,PRON
principales,,1,10,ADJ
brazos,16,13,10,NOUN
inclinó,,17,10,VERB
principal,,1,10,ADJ
carácter,2,,10,NOUN
cama,2,3,10,NOUN
deberes,,,10,NOUN
bajo,18,3,10,ADP
instrumento,1,,10,NOUN
precio,,,10,NOUN
parecían,6,17,10,VERB
pies,14,17,10,NOUN
ocultar,1,1,10,VERB
hora,9,6,10,NOUN
terminar,3,4,10,VERB
dónde,1,26,10,PRON
mil,2,5,10,NUM
cree,1,3,10,VERB
dieron,,9,10,VERB
borrar,2,2,10,VERB
regresar,2,1,10,VERB
distancia,2,6,10,NOUN
destino,2,2,10,NOUN
tierras,,8,10,NOUN
injusticia,1,,10,NOUN
darle,4,8,10,VERB
romper,3,4,10,VERB
dominio,1,,10,NOUN
cuándo,2,1,10,PRON
pasado,1,19,10,ADJ
contempló,,7,10,VERB
quedarse,2,5,10,VERB
acontecimientos,,,10,NOUN
cambio,6,6,10,NOUN
encima,10,14,10,ADV
suelo,2,12,10,NOUN
últimos,1,4,10,ADJ
levantar,4,4,10,VERB
buscaba,2,20,10,VERB
intentó,2,2,10,VERB
vamos,2,1,10,AUX VERB
nuevamente,,1,10,ADV
querían,2,11,10,VERB
matrimonio,,6,10,NOUN
cerca,16,35,10,ADV
mal,10,25,10,ADV
ambos,3,2,10,NUM
interior,1,1,10,NOUN ADJ
miró,23,120,10,VERB
semanas,2,4,10,NOUN
figuras,1,2,10,NOUN
volvieron,3,21,10,VERB
virgiliotovarr,,,10,PROPN
circunstancias,3,,9,NOUN
respuesta,1,5,9,VERB NOUN
velas,,3,9,NOUN
testigos,,2,9,NOUN
vacío,1,1,9,NOUN ADJ
muchachas,5,6,9,NOUN
baile,2,7,9,NOUN
noticia,,7,9,NOUN
felipar,,,9,VERB
familia,1,1,9,PROPN ADJ NOUN
conversaciones,2,2,9,NOUN
dignidad,1,3,9,NOUN
salió,11,75,9,VERB
fiesta,1,3,9,NOUN
fincas,,,9,NOUN
buenos,1,8,9,ADJ
sacar,2,2,9,VERB
acercarse,2,2,9,VERB
luz,25,7,9,NOUN
retiró,1,7,9,VERB
cárcel,,7,9,NOUN
argumentos,,,9,NOUN
siguió,14,28,9,VERB
salía,4,16,9,VERB
