,La Señal,Los Recuerdos del Porvenir,Oficio de Tinieblas,Tipo
echaron,,15,5,VERB
encontraba,5,15,12,VERB
rencor,1,15,5,NOUN
violencia,2,15,5,NOUN
repetía,,15,6,VERB
general,1,15,3,ADJ
trajes,,15,1,NOUN
corrió,1,15,7,VERB
rincón,3,15,5,NOUN
entraba,11,15,4,VERB
hace,12,15,26,VERB
quiso,8,15,56,VERB
dejar,12,15,18,VERB
venían,3,14,14,VERB
veían,1,14,4,VERB
rato,4,14,1,NOUN
polvo,5,14,1,NOUN
cosas,22,14,22,NOUN
hicieron,12,14,26,VERB
largo,12,14,8,ADJ
voces,5,14,3,NOUN
sol,3,14,6,NOUN
doroteae,,14,,ADJ
llevó,2,14,7,VERB
cualquier,13,14,12,DET
llena,1,14,1,VERB ADJ
calle,1,14,6,PROPN NOUN
piedras,2,14,9,NOUN
escuchaba,6,14,14,VERB
palabra,8,14,23,NOUN
guardó,,14,2,VERB
encima,10,14,10,ADV
habitaciones,1,14,8,NOUN
buscó,,14,5,VERB
pronto,12,14,7,ADV
esperó,2,14,2,VERB
salieron,4,14,6,VERB
labios,17,14,18,NOUN
siguieron,6,14,2,VERB
cuartos,,14,4,NOUN
mesa,7,14,5,NOUN
quizá,9,14,5,ADV
oscuras,,13,9,ADJ
hojas,3,13,4,NOUN
grandes,5,13,22,ADJ
lleno,5,13,4,ADJ
pusieron,,13,8,VERB
faustoe,,13,,PROPN
invisible,,13,1,ADJ
vieron,1,13,5,VERB
movió,2,13,7,VERB
negro,,13,4,ADJ
botas,1,13,2,NOUN
grupos,,13,7,NOUN
quiere,12,13,30,VERB
rosae,,13,,PROPN
brazos,16,13,10,NOUN
vivía,2,13,3,VERB
golpes,2,13,4,NOUN
llenó,3,13,2,VERB
ojos,4,13,15,NOUN
inmóvil,1,13,1,ADJ
rojo,3,13,1,ADJ NOUN
supo,6,13,30,VERB
sillas,1,13,2,NOUN
cruzar,,12,3,VERB
podían,4,12,25,AUX
hermano,1,12,1,NOUN
alrededor,10,12,29,ADV
sonrió,10,12,15,VERB
vimos,2,12,2,VERB
esperando,4,12,7,VERB
escuchó,2,12,11,VERB
morir,7,12,5,VERB
guardaron,,12,,VERB
quieren,1,12,19,VERB
decirle,2,12,4,VERB
correr,6,12,8,VERB
pensaba,6,12,7,VERB
aun,10,12,4,ADV
recordaba,3,12,4,VERB
todas,6,12,4,DET
viendo,1,12,3,VERB
alto,3,12,2,ADJ
noticias,,12,3,NOUN
hablando,1,12,4,VERB
comida,,12,6,NOUN
hecho,2,12,5,VERB ADJ
cogió,3,12,2,VERB
escapar,,12,6,VERB
carrera,3,12,5,NOUN
alta,3,12,11,ADJ
imaginar,2,12,2,VERB
coronae,,12,,PROPN
ustedes,3,12,9,PRON
queridas,,12,1,ADJ
ninguna,7,12,30,DET
suelo,2,12,10,NOUN
olvidado,1,12,7,ADJ
llevar,2,12,11,VERB
encontraron,2,12,4,VERB
vi,24,11,1,VERB
salón,,11,,NOUN
cayeron,,11,3,VERB
seis,3,11,1,NUM
evitar,2,11,5,VERB
marido,1,11,2,NOUN
reloj,,11,3,NOUN
loco,,11,,ADJ
presentó,,11,3,VERB
criadas,,11,4,ADJ
primer,7,11,6,ADJ
caliente,,11,3,ADJ
señoras,1,11,11,NOUN
corría,,11,5,VERB
hoy,2,11,30,ADV
querían,2,11,10,VERB
puede,19,11,50,AUX
pensar,19,11,12,VERB
bueno,1,11,7,ADJ
segovia,,11,,PROPN
bajó,4,11,5,VERB
inmóviles,2,11,2,ADJ
huellas,,11,1,NOUN
volvían,2,11,8,VERB
sirvió,,11,6,VERB
asustado,,11,,ADJ
aire,24,11,29,NOUN
sentado,1,11,1,ADJ
aunque,45,11,67,SCONJ
sombra,7,11,11,NOUN
quedaban,2,11,5,VERB
sacaron,,11,3,VERB
llamar,2,11,6,VERB
acompañado,2,11,1,ADJ
sola,9,11,1,ADJ
oscuro,6,11,7,ADJ
sillón,2,10,3,NOUN
misma,10,10,7,DET
azules,,10,1,ADJ
cigarrillo,1,10,,NOUN
andaba,,10,7,VERB
negra,,10,,ADJ
niña,10,10,9,NOUN
mordió,,10,3,VERB
muerte,2,10,5,NOUN
pedir,2,10,15,VERB
embargo,1,10,17,ADJ NOUN
ve,1,10,4,VERB
esperar,1,10,6,VERB
ahí,10,10,8,ADV
pasa,3,10,4,VERB
tampoco,11,10,24,ADV
oyeron,1,10,1,VERB
debe,9,10,17,AUX
llorar,6,10,4,VERB
méxico,3,10,13,PROPN
espacio,3,10,6,NOUN
caminando,7,10,1,VERB
perdió,1,10,3,VERB
patio,1,10,3,ADJ NOUN
persianas,1,10,,NOUN
sucedía,1,10,2,VERB
pensamientos,2,10,4,NOUN
revolución,,10,1,NOUN
ventanas,2,10,1,NOUN ADJ
ésta,2,10,2,PRON DET
llevando,1,10,6,VERB
ofreció,,10,4,VERB
hacían,6,10,20,VERB
perdía,,10,3,VERB
pidió,5,10,2,VERB
nueva,5,10,9,ADJ
huésped,,10,4,NOUN
hablaban,5,10,6,VERB
seguir,6,9,20,VERB
amor,8,9,5,NOUN
diez,1,9,3,NUM
quisiera,6,9,5,VERB
caminar,7,9,8,VERB
sabes,4,9,6,VERB
abierta,,9,1,ADJ PROPN
banda,1,9,2,NOUN
da,13,9,18,VERB
abría,2,9,9,VERB
vienen,,9,12,VERB
dormir,7,9,5,VERB
cruzaban,,9,1,VERB
parte,6,9,36,NOUN
hombros,2,9,8,NOUN
instantes,,9,3,NOUN
gusta,4,9,1,VERB
permaneció,,9,16,VERB
voluntad,3,9,1,NOUN PROPN
ropas,3,9,4,NOUN
corazón,3,9,15,NOUN
acercándose,1,9,1,VERB
toda,16,9,4,DET
mesas,2,9,2,NOUN
imágenes,,9,11,NOUN
jefe,1,9,4,NOUN
aparición,,9,1,NOUN
asustada,1,9,,ADJ
dieron,,9,10,VERB
debía,17,9,16,AUX
tomaron,1,9,3,VERB
tratando,1,9,7,VERB
criada,1,9,1,NOUN ADJ
forastero,,9,,ADJ
escucharon,,9,3,VERB
cuerpos,,9,6,NOUN
tras,9,9,32,ADP
lanzó,3,9,2,VERB
círculo,,9,8,NOUN
segunda,2,9,1,ADJ
diría,2,9,2,VERB
frases,3,9,8,NOUN
golpe,4,9,5,NOUN
dejaron,4,9,11,VERB
rumbo,1,9,15,NOUN
preguntó,6,9,4,VERB
haga,,9,6,VERB
radiante,,9,,ADJ
recuerdos,2,9,5,NOUN
dinero,7,8,21,NOUN
tener,1,8,25,VERB
vivir,7,8,12,VERB
murió,7,8,3,VERB
caía,2,8,2,VERB
niñas,1,8,,NOUN
trajo,2,8,5,VERB
abrir,3,8,9,VERB
tendido,1,8,,ADJ
convertido,1,8,3,ADJ
producía,3,8,6,VERB
guardaba,,8,11,VERB
dedos,8,8,21,NOUN
barrotes,,8,1,NOUN PROPN
aparecía,,8,5,VERB
encerrada,1,8,4,ADJ
esperaron,,8,1,VERB
buenos,1,8,9,ADJ
bebió,1,8,2,VERB
coro,,8,1,NOUN
oídos,,8,11,NOUN
sacó,1,8,3,VERB
menor,4,8,4,ADJ
cuerpo,22,8,6,NOUN
personajes,,8,1,NOUN
media,1,8,1,NUM
golpeó,1,8,3,VERB
aceptó,2,8,8,VERB
volvimos,,8,3,VERB
primeras,1,8,8,ADJ
negros,6,8,,ADJ
precipitó,,8,2,VERB
entender,7,8,21,VERB
huía,1,8,,VERB
levantaron,3,8,3,VERB
corriendo,8,8,7,VERB
alejó,,8,,VERB
borracho,,8,,ADJ
bailar,2,8,1,VERB
azul,3,8,1,ADJ
flotaba,1,8,,VERB
pobres,,8,6,ADJ
alguna,16,8,35,DET
darle,4,8,10,VERB
alegría,7,8,3,NOUN
rosas,1,8,,ADJ
instalaron,1,8,,VERB
olvidaba,2,8,2,VERB
siete,,8,1,NUM
tierras,,8,10,NOUN
sonriente,,8,,ADJ
cuello,6,8,4,NOUN
encontrarse,5,8,1,VERB
formas,1,8,,NOUN
extraña,3,8,3,ADJ
ocupaba,2,8,4,VERB
verlo,4,8,4,VERB
blanco,2,8,2,ADJ
girando,1,8,1,VERB
papel,2,8,20,NOUN
vueltas,4,8,6,NOUN
colgados,,8,,ADJ
pelotón,,8,,NOUN
joaquíne,,8,,PROPN
corrían,4,8,4,VERB
allá,9,8,18,ADV
supe,4,8,,VERB
veíamos,1,8,,VERB
encerró,,8,3,VERB
buena,4,8,30,ADJ
tendió,2,8,2,VERB
repitió,2,8,4,VERB
separaba,1,8,1,VERB
idea,8,8,12,NOUN
observaba,3,8,8,VERB
recordar,4,8,3,VERB
enfrente,1,8,1,ADV
sacerdote,,8,12,NOUN
abrieron,,8,3,VERB
tren,1,8,,NOUN
