,La Señal,Los Recuerdos del Porvenir,Oficio de Tinieblas,Tipo
secara,1,,,VERB
completamente,8,,4,ADV
continuamente,3,,,ADV
modo,7,3,1,NOUN PROPN
viento,1,1,4,ADJ NOUN
ardiente,3,5,,ADJ
casi,58,19,34,ADV
medio,1,1,5,ADJ
subí,3,,,VERB
traje,10,34,5,NOUN
baño,9,2,2,NOUN
regresé,1,,,VERB
galletas,1,1,,NOUN
termo,1,,,NOUN
té,2,,,NOUN
cerca,16,35,10,ADV
mangos,2,2,,NOUN
tiramos,1,,,VERB
dormir,7,9,5,VERB
ojos,4,13,15,NOUN
cayendo,4,3,2,VERB
encontré,5,,1,VERB
indefinible,1,,1,ADJ
reproche,1,1,1,NOUN
seguía,14,35,22,VERB
voz,1,46,12,NOUN
incorporó,1,1,1,VERB
vino,1,2,1,PROPN VERB NOUN
sentarse,2,2,7,VERB
alzar,1,,3,VERB
irme,1,3,2,VERB
supe,4,8,,VERB
pude,1,3,1,VERB AUX
responderle,1,,,VERB
frase,4,19,12,NOUN
contento,2,4,3,ADJ
movió,2,13,7,VERB
susurró,2,1,1,VERB
diga,2,6,2,VERB
quieres,2,1,3,VERB PROPN
roguemos,1,,,VERB
péinate,1,,,NOUN
película,1,,1,NOUN
siempre,36,74,102,ADV
entretiene,1,1,1,VERB
dije,10,3,1,VERB
sola,9,11,1,ADJ
caserón,1,1,2,NOUN ADJ
toda,16,9,4,DET
ganas,4,6,,NOUN
pone,3,2,5,VERB
así,40,36,75,ADV
quién,7,18,52,PRON
extrañaba,1,1,,VERB
pasado,1,19,10,ADJ
diera,6,5,4,VERB
dicen,4,5,16,VERB
recién,4,1,28,ADV
muerto,2,21,6,ADJ
salieron,4,14,6,VERB
iba,8,5,1,AUX
contando,1,,1,VERB
vieja,3,21,3,ADJ
metía,2,2,,VERB
cada,20,41,117,DET
humedad,1,1,2,NOUN
vapor,3,1,,NOUN PROPN
quemante,1,,,ADJ
envolvía,2,1,,VERB
uniendo,2,,,VERB
aislando,1,,,VERB
objeto,4,1,13,NOUN PROPN
tierra,1,6,2,NOUN PROPN
podía,13,50,119,AUX
pisar,1,,,VERB
aun,10,12,4,ADV
baldosas,1,2,2,NOUN
recámara,1,,1,PROPN ADJ
llegué,10,,1,VERB
dejé,8,,,VERB
frente,1,1,1,ADV NOUN
espejo,3,4,5,NOUN
desaté,1,,,VERB
cabellos,1,4,2,ADJ NOUN
deslizaran,1,,,VERB
libres,2,2,,ADJ
húmedos,1,3,,ADJ
espalda,1,1,11,NOUN
sonreí,1,,,VERB
tendí,2,,,VERB
boca,1,1,1,ADV NOUN
abajo,5,2,3,ADV
centeno,1,,,NOUN
helado,4,5,,ADJ
apreté,2,,,VERB
estiré,1,,,VERB
suspiro,1,,2,NOUN
quedé,13,1,,VERB
oyendo,2,2,1,VERB
fondo,4,2,1,NOUN
entresueño,2,,,ADJ
bordoneo,1,,,PROPN
vibrante,3,,,ADJ
perezoso,1,,,ADJ
insectos,1,4,,NOUN
tarde,2,52,12,ADV
eché,1,1,1,VERB
encima,10,14,10,ADV
bata,3,1,,NOUN PROPN
calzarme,1,,,VERB
recogerme,1,,,VERB
pelo,4,2,6,NOUN
refrigerador,1,,,NOUN
saqué,2,,,VERB
tres,15,38,9,NUM
comerlos,1,,,VERB
gradas,1,,,NOUN
cogí,1,,,VERB
pelé,1,,,ADJ
mordí,1,,,VERB
arranqué,1,,,VERB
trozo,1,3,3,NOUN
cabía,2,4,1,VERB
sentí,25,,1,VERB
pulpa,1,,,NOUN
aplastarse,1,,,VERB
jugo,1,,,PROPN
correr,6,12,8,VERB
comisuras,1,,1,ADJ NOUN
después,52,81,124,ADV
dedos,8,8,21,NOUN
largo,12,14,8,ADJ
impaciencia,3,1,12,NOUN
satisfecha,1,,1,ADJ
empecé,7,1,,VERB
comer,7,4,8,VERB
chancleteo,1,,,ADJ
hizo,38,59,93,VERB
levantar,4,4,10,VERB
toña,1,,,VERB
mango,1,,,NOUN
piel,1,3,1,PROPN NOUN VERB
empezó,9,22,12,VERB
secarse,1,,1,VERB
rápidamente,4,,6,ADV
ser,44,31,140,AUX
olvidó,1,1,5,VERB
miró,23,120,10,VERB
largamente,3,,2,ADV
visto,8,1,2,ADJ
rico,3,,1,ADJ
reí,1,,,VERB
levantando,4,2,1,VERB
dejando,3,7,8,VERB
últimas,1,3,5,ADJ
gotas,4,1,1,NOUN
pesadas,2,,1,ADJ
resbalaran,1,,,VERB
saber,4,1,2,AUX VERB
comencé,6,,,VERB
reírme,1,,,VERB
rió,4,1,1,VERB
entró,11,37,11,VERB
pasó,10,26,15,VERB
nuevo,18,16,29,ADJ
junto,4,1,1,ADJ ADV
dijo,27,68,31,VERB
vi,24,11,1,VERB
chasquido,1,,2,ADJ
sandalias,1,,,NOUN
ritmo,5,3,5,NOUN
seguro,2,1,3,ADJ
escalón,1,,1,NOUN
miré,4,,,VERB
ramas,3,22,1,NOUN
ciclo,1,1,1,NOUN
cambiar,1,7,6,VERB
sábado,1,,,NOUN
escogí,1,,,VERB
playa,5,,,NOUN
desierta,1,,1,ADJ
vergüenza,1,5,2,ADJ NOUN
vieran,2,5,,VERB
ir,3,1,2,AUX VERB
